round,pick,player,keeper,team,owner
13,152,Chuba Hubbard,no,Sorry Eiferted,
14,161,Travis Etienne Jr.,no,Sorry Eiferted,
15,176,Sterling Shepard,no,Sorry Eiferted,
16,185,Jason Myers,no,Sorry Eiferted,
1,9,Davante Adams,no,Mackenzie's Team,
2,16,Clyde EdwardsHelaire,no,Mackenzie's Team,
3,33,Gus Edwards,no,Mackenzie's Team,
4,40,DK Metcalf ,yes,Mackenzie's Team,
5,57,Russell Wilson,no,Mackenzie's Team,
6,64,Chase Claypool,no,Mackenzie's Team,
7,81,James Conner,no,Mackenzie's Team,
8,88,Antonio Brown,no,Mackenzie's Team,
9,105,Will Fuller V,no,Mackenzie's Team,
10,112,Justin Jefferson ,yes,Mackenzie's Team,
11,129,Mike Gesicki,no,Mackenzie's Team,
12,136,Giovani Bernard,no,Mackenzie's Team,
13,153,Ty'Son Williams,no,Mackenzie's Team,
14,160,Buffalo,no,Mackenzie's Team,
15,177,Terrace Marshall Jr.,no,Mackenzie's Team,
16,184,Matt Gay,no,Mackenzie's Team,
1,10,Aaron Jones ,yes,Hockenson balls,
2,15,Calvin Ridley,no,Hockenson balls,
3,34,Damien Harris,no,Hockenson balls,
4,39,Julio Jones,no,Hockenson balls,
5,58,Ronald Jones II,no,Hockenson balls,
6,63,Dak Prescott,no,Hockenson balls,
7,82,Laviska Shenault Jr.,no,Hockenson balls,
8,87,Leonard Fournette,no,Hockenson balls,
9,106,T.J. Hockenson ,yes,Hockenson balls,
10,111,Marquise Brown,no,Hockenson balls,
11,130,Tony Pollard,no,Hockenson balls,
12,135,Tyler Bass,no,Hockenson balls,
13,154,DeVante Parker,no,Hockenson balls,
14,159,Indianapolis,no,Hockenson balls,
15,178,Jamison Crowder,no,Hockenson balls,
16,183,Emmanuel Sanders,no,Hockenson balls,
1,11,Ezekiel Elliott ,yes,red dragons,
2,14,Stefon Diggs,no,red dragons,
3,35,Miles Sanders,no,red dragons,
4,38,Mike Evans,no,red dragons,
5,59,Robbie Anderson,no,red dragons,
6,62,Logan Thomas,no,red dragons,
7,83,Deebo Samuel,no,red dragons,
8,86,Devin Singletary,no,red dragons,
9,107,Matthew Stafford,no,red dragons,
10,110,Phillip Lindsay,no,red dragons,
11,131,Gerald Everett,no,red dragons,
12,134,San Francisco,no,red dragons,
13,155,Tevin Coleman,no,red dragons,
14,158,Jameis Winston,no,red dragons,
15,179,Rodrigo Blankenship,no,red dragons,
16,182,Tee Higgins ,yes,red dragons,
1,12,Tyreek Hill ,yes,BadonkaGronk,
2,13,Saquon Barkley,no,BadonkaGronk,
3,36,Jonathan Taylor ,yes,BadonkaGronk,
4,37,Kyle Pitts,no,BadonkaGronk,
5,60,Aaron Rodgers,no,BadonkaGronk,
6,61,Odell Beckham Jr.,no,BadonkaGronk,
7,84,Kenyan Drake,no,BadonkaGronk,
8,85,Jarvis Landry,no,BadonkaGronk,
9,108,Michael Thomas,no,BadonkaGronk,
10,109,Michael Pittman Jr.,no,BadonkaGronk,
11,132,Elijah Moore,no,BadonkaGronk,
12,133,Rhamondre Stevenson,no,BadonkaGronk,
13,156,Le'Veon Bell,no,BadonkaGronk,
14,157,Cleveland,no,BadonkaGronk,
15,180,Robbie Gould,no,BadonkaGronk,
16,181,Trey Lance,no,BadonkaGronk,
